epoch,dice_coef,iou,loss,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.18904933,0.10641516,0.04738405345174305,0.6674937,0.28459486,0.38461766,0.23810664,0.020043982192873955,0.7804044,0.5036883
1,0.41082406,0.26034638,0.0138963708081221,0.8521634,0.31383702,0.54142094,0.37125862,0.0135299158282578,0.7627311,0.55147845
2,0.5662961,0.39706197,0.008986135459788736,0.8743108,0.3358018,0.64214665,0.47309095,0.01175712887197733,0.7642508,0.59170294
3,0.67425954,0.51030844,0.0067199075930684015,0.89994854,0.35473192,0.7113444,0.5523255,0.00827628280967474,0.8464389,0.59044194
4,0.7342753,0.58174086,0.00561814351486881,0.9241486,0.36157528,0.73944926,0.5866686,0.00756581942550838,0.8504462,0.61881346
5,0.7745645,0.6335909,0.004910237152770852,0.9434809,0.3678849,0.7136003,0.55548686,0.00805572490207851,0.8764932,0.55973774
6,0.79791045,0.66515553,0.004503519693119698,0.95418656,0.37172827,0.7412014,0.5888996,0.008555905660614371,0.86483884,0.56679904
7,0.81664526,0.6913957,0.004171704363836506,0.9619891,0.37506828,0.74903005,0.5989213,0.006955198477953672,0.91687196,0.5396255
8,0.825879,0.70474416,0.0039996007568779595,0.9654236,0.37660024,0.70352244,0.54658955,0.013481438159942627,0.9080146,0.50286865
9,0.83322287,0.7154929,0.003860351942758699,0.9679697,0.37792385,0.58818066,0.42156386,0.016324582044035196,0.9205646,0.35363472
10,0.83964413,0.7248948,0.0037305694723359945,0.9709725,0.37884128,0.7922325,0.65817094,0.006995038129389286,0.9195787,0.5889919
11,0.8443967,0.73200405,0.003628413735492624,0.97248006,0.3798005,0.76667976,0.62482786,0.008483458310365677,0.9232267,0.56787086
12,0.84983665,0.7399919,0.0035079830035679846,0.9746104,0.3809126,0.7043369,0.54416245,0.010583308525383472,0.8921435,0.49542904
13,0.8512944,0.7421631,0.003462113325548858,0.97500604,0.38100177,0.7994864,0.6668223,0.006723623024299741,0.9372989,0.5692579
14,0.85865945,0.7532297,0.0032967552611109373,0.97783124,0.3824779,0.6218811,0.4542607,0.013420196250081062,0.8538271,0.41283652
15,0.8571068,0.7509064,0.0033409028061178346,0.97677135,0.3818912,0.8293437,0.70907617,0.00516966637223959,0.8927065,0.64050186
16,0.8629899,0.75979644,0.0032048020057961505,0.9794509,0.3833165,0.8339846,0.71542597,0.004976056516170502,0.9143688,0.6146523
17,0.8596318,0.75465226,0.00326912464602505,0.97743404,0.3823519,0.79307866,0.6586423,0.006834996165707707,0.9265344,0.565349
18,0.86911476,0.7690468,0.003068438535887711,0.9816169,0.38453212,0.82578933,0.70337796,0.007031211396679282,0.9322267,0.598386
19,0.86648166,0.764945,0.003123239372469121,0.9800165,0.38388363,0.77538747,0.63446534,0.007967872079461813,0.8996154,0.5751844
20,0.8654743,0.7634133,0.003145584636248358,0.9793047,0.3838156,0.7663975,0.6215879,0.009700512746348977,0.9121864,0.54555196
21,0.8714479,0.77259094,0.0030198651569277135,0.981942,0.38502476,0.80931294,0.68131757,0.005754238925874233,0.8968768,0.59384656
22,0.87496966,0.778005,0.002947060849836762,0.98355603,0.38586593,0.8621667,0.7588754,0.003990460769273341,0.93828195,0.6335666
23,0.8715265,0.7726777,0.0030256243444214395,0.9818913,0.38489455,0.7282892,0.57774603,0.012071271892637014,0.91270286,0.5141542
